"Año-Mes","Ejercicio","Mes","Código","Nombre Cuenta","Naturaleza","Saldo Anterior","Saldo Final","Δ Saldos","Mov Cargo","Mov Abono","Mov Neto","Diferencia","Abs Diff","Categoría","Pólizas relacionadas"
"2026-01","2026","1","610004300000000000002","COMBUSTIBLES Y LUBRICANTES","deudora","108126.10","10330.71","-97795.39","10330.71","0.00","10330.71","-108126.10","108126.10","Cierre ejercicio (Dic/Ene)","egreso#20 2026-01-13 | egreso#24 2026-01-17 | egreso#25 2026-01-19 | egreso#1 2026-01-05 | egreso#11 2026-01-07 | egreso#13 2026-01-08 | egreso#17 2026-01-10 | egreso#34 2026-01-20 | egreso#39 2026-01-22 | egreso#47 2026-01-24 | egreso#57 2026-01-28 | egreso#59 2026-01-28 | egreso#64 2026-01-29"
"2025-12","2025","12","610004300000000000002","COMBUSTIBLES Y LUBRICANTES","deudora","97946.39","108126.10","10179.71","10179.71","108126.10","-97946.39","108126.10","108126.10","Cierre ejercicio (Dic/Ene)","egreso#9 2025-12-05 | egreso#10 2025-12-07 | egreso#62 2025-12-22 | diario#3 2025-12-31 | egreso#3 2025-12-03 | egreso#22 2025-12-11 | egreso#33 2025-12-12 | egreso#37 2025-12-15 | egreso#50 2025-12-19 | egreso#65 2025-12-23 | egreso#67 2025-12-24 | egreso#79 2025-12-29 | egreso#80 2025-12-30"
"2022-12","2022","12","117000200000000000002","SOCIOS Y ACCIONISTAS","deudora","0.00","100000.00","100000.00","0.00","0.00","0.00","100000.00","100000.00","Cierre ejercicio (Dic/Ene)",""
"2023-01","2023","1","910000700000000000002","CUCA DE EJERCICIOS ANTERIORES","deudora","0.00","100000.00","100000.00","0.00","0.00","0.00","100000.00","100000.00","Cierre ejercicio (Dic/Ene)",""
"2022-12","2022","12","310000100000000000002","CAPITAL SOCIAL FIJO","acreedora","0.00","100000.00","100000.00","0.00","0.00","0.00","100000.00","100000.00","Cierre ejercicio (Dic/Ene)",""
"2023-01","2023","1","920000700000000000002","CONTRA CTA. CUCA DE EJERCICIOS ANTERIORE","acreedora","0.00","100000.00","100000.00","0.00","0.00","0.00","100000.00","100000.00","Cierre ejercicio (Dic/Ene)",""
"2025-12","2025","12","610002700000000000002","RENTA DE LOCALES","deudora","74200.00","95400.00","21200.00","21200.00","95400.00","-74200.00","95400.00","95400.00","Cierre ejercicio (Dic/Ene)","diario#11 2025-12-04 | diario#3 2025-12-31"
"2026-01","2026","1","610002700000000000002","RENTA DE LOCALES","deudora","95400.00","10600.00","-84800.00","10600.00","0.00","10600.00","-95400.00","95400.00","Cierre ejercicio (Dic/Ene)","diario#9 2026-01-07"
"2025-12","2025","12","610001900000000000002","APORTACIONES AL INFONAVIT","deudora","75357.76","91351.26","15993.50","15993.50","91351.26","-75357.76","91351.26","91351.26","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31 | diario#54 2025-12-31"
"2026-01","2026","1","610001900000000000002","APORTACIONES AL INFONAVIT","deudora","91351.26","0.00","-91351.26","0.00","0.00","0.00","-91351.26","91351.26","Cierre ejercicio (Dic/Ene)",""
"2024-12","2024","12","610000200000000000002","ASIMILADOS A SALARIOS","deudora","81645.41","89032.00","7386.59","7386.59","89032.00","-81645.41","89032.00","89032.00","Cierre ejercicio (Dic/Ene)","diario#100097 2024-12-31 | diario#4 2024-12-31"
"2025-01","2025","1","610000200000000000002","ASIMILADOS A SALARIOS","deudora","89032.00","7947.61","-81084.39","7947.61","0.00","7947.61","-89032.00","89032.00","Cierre ejercicio (Dic/Ene)","diario#100099 2025-01-31"
"2023-12","2023","12","330000100000000000002","RESULTADO EJERCICIO #","acreedora","0.00","0.00","0.00","87734.38","0.00","-87734.38","87734.38","87734.38","Cierre ejercicio (Dic/Ene)","diario#2 2023-12-31"
"2024-01","2024","1","330000100000000000002","RESULTADO EJERCICIO #","acreedora","0.00","-87734.38","-87734.38","0.00","0.00","0.00","-87734.38","87734.38","Cierre ejercicio (Dic/Ene)",""
"2025-12","2025","12","610003800000000000002","MENSAJERIA","deudora","84200.00","84200.00","0.00","0.00","84200.00","-84200.00","84200.00","84200.00","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31"
"2026-01","2026","1","610003800000000000002","MENSAJERIA","deudora","84200.00","10600.00","-73600.00","10600.00","0.00","10600.00","-84200.00","84200.00","Cierre ejercicio (Dic/Ene)","diario#9 2026-01-07"
"2024-12","2024","12","610004300000000000002","COMBUSTIBLES Y LUBRICANTES","deudora","74003.63","80931.21","6927.58","6927.58","80931.21","-74003.63","80931.21","80931.21","Cierre ejercicio (Dic/Ene)","egreso#69 2024-12-31 | egreso#70 2024-12-31 | egreso#71 2024-12-31 | egreso#72 2024-12-31 | egreso#10 2024-12-07 | egreso#26 2024-12-13 | egreso#42 2024-12-19 | egreso#50 2024-12-28 | diario#4 2024-12-31"
